"REF_DATE","GEO","DGUID","Estimates","Consumption category","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Nova Scotia","2016A000212","Individual consumption expenditures of non-profit institutions serving households","Other services","Dollars","81","millions","6","v1039061648","4.3.16","334.2","","","","1"
"2008","Nova Scotia","2016A000212","Household actual final consumption","Total consumption","Dollars","81","millions","6","v1039061649","4.4.1","30442.0","","","","1"
"2008","Nova Scotia","2016A000212","Household actual final consumption","Food and non-alcoholic beverages","Dollars","81","millions","6","v1039061650","4.4.2","2194.5","","","","1"
"2008","Nova Scotia","2016A000212","Household actual final consumption","Alcoholic beverages and tobacco","Dollars","81","millions","6","v1039061651","4.4.3","1193.0","","","","1"
"2008","Nova Scotia","2016A000212","Household actual final consumption","Clothing and footwear","Dollars","81","millions","6","v1039061652","4.4.4","934.6","","","","1"
"2008","Nova Scotia","2016A000212","Household actual final consumption","Housing, water, electricity, gas and other fuels","Dollars","81","millions","6","v1039061653","4.4.5","6231.8","","","","1"
"2008","Nova Scotia","2016A000212","Household actual final consumption","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","millions","6","v1039061654","4.4.6","1304.1","","","","1"
"2008","Nova Scotia","2016A000212","Household actual final consumption","Health","Dollars","81","millions","6","v1039061655","4.4.7","4334.3","","","","1"
"2008","Nova Scotia","2016A000212","Household actual final consumption","Transport","Dollars","81","millions","6","v1039061656","4.4.8","3601.2","","","","1"
"2008","Nova Scotia","2016A000212","Household actual final consumption","Communications","Dollars","81","millions","6","v1039061657","4.4.9","616.9","","","","1"
"2008","Nova Scotia","2016A000212","Household actual final consumption","Recreation and culture","Dollars","81","millions","6","v1039061658","4.4.10","2383.7","","","","1"
"2008","Nova Scotia","2016A000212","Household actual final consumption","Education","Dollars","81","millions","6","v1039061659","4.4.11","2357.5","","","","1"
"2008","Nova Scotia","2016A000212","Household actual final consumption","Food, beverage and accommodation services","Dollars","81","millions","6","v1039061660","4.4.12","1587.9","","","","1"
"2008","Nova Scotia","2016A000212","Household actual final consumption","Insurance and financial services","Dollars","81","millions","6","v1039061661","4.4.13","1845.8","","","","1"
"2008","Nova Scotia","2016A000212","Household actual final consumption","Miscellaneous goods and services (including social protection)","Dollars","81","millions","6","v1039061662","4.4.14","1794.5","","","","1"
"2008","Nova Scotia","2016A000212","Household actual final consumption","Net expenditure abroad","Dollars","81","millions","6","v1039061663","4.4.15","-271.9","","","","1"
"2008","Nova Scotia","2016A000212","Household actual final consumption","Other services","Dollars","81","millions","6","v1039061664","4.4.16","334.2","","","","1"
